39;'Городской округ Краснотурьинск';60685;56584;'МФЦ';'624447, Свердловская область, г. Краснотурьинск, ул. Ленина, д. 4';'59.763597, 60.181554';12;27.11.2013;'муниципальная';'оперативное управление';434,7;'Действующий'
40;;;4035;'ТОСП';'624465, Свердловская область, п.Рудничный, ул. Первомайская, д. 2';'59.698699, 60.292946';1;05.11.2014;'муниципальная';'безвозмездное пользование';42,3;'Действующий'
41;'Городской округ Красноуральск';22744;22725;'МФЦ';'624330, Свердловская область, г. Красноуральск, ул. Иллариона Янкина, д. 7';'58.356301, 60.034437';5;15.11.2013;'муниципальная';'безвозмездное пользование';111,4;'Действующий'
42;'Городской округ Красноуфимск';38643;38088;'МФЦ';'623300, Свердловская область, г. Красноуфимск, ул. Манчажская, д. 15';'56.612856, 57.779289';11;06.05.2019;'частная';'аренда';238,9;'Действующий'
43;'Махнёвское муниципальное образование';5451;3088;'МФЦ';'624621, Свердловская область, пгт. Махнёво, ул. Плюхина, д. 10';'58.448247, 61.708313';3;24.12.2014;'региональная';'оперативное управление';92,6;'Действующий'
44;'Муниципальное образование «город Екатеринбург»';1527525;221207;'МФЦ';'620034, г. Екатеринбург, ул. Готвальда, д. 6/4';'56.850910, 60.570381';17;31.12.2015;'региональная';'оперативное управление';730,3;'Действующий'
45;;;;'МФЦ';'620109, г. Екатеринбург, ул. Металлургов, стр. 87';'56.823631, 60.505406';25;29.12.2019;'частная';'аренда';500;'Действующий'
46;;;148981;'МФЦ';'620075, г. Екатеринбург, ул. Малышева, 53';'56.836204, 60.615800';10;01.06.2011;'частная';'безвозмездное пользование';456,4;'Действующий'
47;;;;'МФЦ';'620138, г. Екатеринбург, Дублер Сибирского тракта, стр. 2';'56.829374, 60.672699';33;21.04.2020;'частная';'аренда';700;'Действующий'
48;;;156723;'МФЦ';'620146, г. Екатеринбург, ул. Громова, д. 145';'56.798048, 60.560114';19;30.11.2013;'региональная';'аренда';365,9;'Действующий'
49;;;;'МФЦ';'620105, Свердловская область, г. Екатеринбург, пр-кт Академика Сахарова, д. 45';'56.781996, 60.520767';15;15.06.2021;'частная';'аренда';344,4;'Действующий'
50;;;;'МФЦ';'620014, г. Екатеринбург, ул. 8 Марта, д. 13';'56.836357, 60.600322';24;19.12.2013;'региональная';'оперативное управление';752,1;'Действующий'
51;;;275571;'МФЦ';'620023, г. Екатеринбург, ул. Рощинская, д. 21';'56.782882, 60.664773';42;26.12.2019;'частная';'аренда';780;'Действующий'
52;;;165291;'МФЦ';'620107, г. Екатеринбург, ул. Героев России, 2';'56.856717, 60.597978';33;29.09.2014;'частная';'аренда';533,4;'Действующий'
53;;;286482;'МФЦ';'620012, г. Екатеринбург, ул. Победы, 14А';'56.895845, 60.608785';31;01.08.2020;'частная';'аренда';585,4;'Действующий'
54;;;;'МФЦ';'620017, г. Екатеринбург, ул. Баумана, д. 5';'56.888505, 60.616375';10;30.12.2014;'муниципальная';'аренда';267,4;'Действующий'
55;;;228864;'МФЦ';'620137, г. Екатеринбург, ул. Учителей, д. 2Б';'56.858464, 60.632024';37;01.10.2015;'частная';'аренда';1022,8;'Действующий'
56;'Муниципальное образование «посёлок Уральский»';2424;2424;'ТОСП';'624054, Свердловская область, пгт. Уральский, ул. Капитана Флерова, д. 118';'56.675183, 61.080975';1;30.12.2013;'муниципальная';'безвозмездное пользование';33,02;'Действующий'
57;'Муниципальное образование Алапаевское';23917;9727;'МФЦ';'624690, Свердловская область, Алапаевский р-он, пгт. Верхняя Синячиха, ул. Красной Гвардии, стр. 6';'57.979841, 61.661349';3;14.08.2014;'муниципальная';'безвозмездное пользование';63,2;'Действующий'
58;;;1083;'ТОСП';'624683, Свердловская область, Алапаевский р-н, с. Костино, ул. Советская, д. 1';'57.847319, 62.157372';1;14.08.2014;'муниципальная';'безвозмездное пользование';19,5;'Действующий'
59;'Муниципальное образование город Алапаевск';42559;37219;'МФЦ';'624600, Свердловская область, г. Алапаевск, ул. Ленина, д. 16';'57.852774, 61.703507';10;12.11.2014;'региональная';'оперативное управление';370;'Действующий'
60;'Муниципальное образование город Ирбит';36128;36668;'МФЦ';'623850, Свердловская область, г. Ирбит, ул. Советская, д. 31';'57.676808, 63.064527';8;05.12.2013;'региональная';'оперативное управление';296,9;'Действующий'
61;'Городской округ Нижняя Салда';17508;17345;'МФЦ';'624742, Свердловская область, г. Нижняя Салда, ул. Фрунзе, д. 10';'58.072870, 60.714992';4;04.09.2013;'региональная';'оперативное управление';215,1;'Действующий'
